train,test,n,delta_stale,delta_stale_ci_lo,delta_stale_ci_hi,delta_stale_sig_at_95,delta_fft,delta_fft_ci_lo,delta_fft_ci_hi,delta_fft_sig_at_95
GenBuster,SD14,480,0.1020833333333333,0.06458333333333344,0.1416666666666666,yes,-0.09375,-0.14374999999999993,-0.043749999999999956,yes
GenBuster,BigGAN,480,0.23333333333333328,0.19583333333333341,0.27083333333333337,yes,-0.2104166666666667,-0.24791666666666667,-0.17500000000000004,yes
SD14,GenBuster,400,0.1825,0.135,0.2300000000000001,yes,-0.0050000000000000044,-0.0475000000000001,0.039999999999999925,no
SD14,BigGAN,480,0.22083333333333333,0.18541666666666667,0.2583333333333334,yes,-0.1645833333333333,-0.19791666666666663,-0.13124999999999998,yes
BigGAN,GenBuster,400,0.22000000000000008,0.1725,0.26750000000000007,yes,0.0025000000000000577,-0.03749999999999998,0.04250000000000009,no
BigGAN,SD14,480,0.08958333333333335,0.05625000000000002,0.12291666666666667,yes,-0.14375000000000004,-0.1958333333333333,-0.09166666666666667,yes
