dataset,class,n,n_disagree,stale_sem_acc,stale_fft_acc,cascade_acc,stale_sem_acc_on_disagree,stale_fft_acc_on_disagree,cascade_acc_on_disagree,cascade_gain_over_stale_sem
SDXL,REAL,2000,457,0.9575,0.789,0.914,0.8687089715536105,0.13129102844638948,0.6783369803063457,-0.04349999999999998
SDXL,FAKE,2000,1007,0.736,0.4545,0.8465,0.7795431976166832,0.22045680238331677,0.9990069513406157,0.11050000000000004
FLUX,REAL,2000,479,0.9535,0.784,0.9135,0.8538622129436325,0.14613778705636743,0.6868475991649269,-0.040000000000000036
FLUX,FAKE,2000,1176,0.865,0.373,0.9125,0.9183673469387755,0.08163265306122448,0.9991496598639455,0.04749999999999999
