dataset,semantic,n,gain_gpt55,gain_gpt55_ci_lo,gain_gpt55_ci_hi,gain_gpt55_sig_at_95,gain_qwen,gain_qwen_ci_lo,gain_qwen_ci_hi,gain_qwen_sig_at_95
SDXL,SigLIP2,4000,0.033499999999999974,0.02400000000000002,0.04299999999999993,yes,-0.030000000000000027,-0.04125000000000001,-0.018749999999999933,yes
SDXL,Dinov2,4000,0.03600000000000003,0.02674999999999994,0.04525000000000001,yes,-0.03049999999999997,-0.04200625000000003,-0.018999999999999906,yes
FLUX,SigLIP2,4000,0.003750000000000031,-0.0040000000000000036,0.011500000000000066,no,-0.13024999999999998,-0.14275000000000004,-0.11775000000000002,yes
FLUX,Dinov2,4000,0.04875000000000007,0.03925000000000001,0.058250000000000024,yes,-0.08124999999999993,-0.09375,-0.06874999999999998,yes
