train,test,stale_clip_acc,cascade_acc,delta,indomain_clip_acc,qwen_on_disagree,disagree_rate,n_disagree
GenBuster,GenBuster,0.91,0.755,-0.15500000000000003,0.91,0.5909090909090909,0.44,176
GenBuster,SD14,0.5458333333333333,0.5708333333333333,0.025000000000000022,0.9,0.627906976744186,0.35833333333333334,172
GenBuster,BigGAN,0.5229166666666667,0.7125,0.18958333333333333,0.9895833333333334,0.669260700389105,0.5354166666666667,257
SD14,GenBuster,0.6125,0.5625,-0.050000000000000044,0.91,0.4913294797687861,0.4325,173
SD14,SD14,0.9,0.7416666666666667,-0.15833333333333333,0.9,0.5805084745762712,0.49166666666666664,236
SD14,BigGAN,0.5354166666666667,0.7208333333333333,0.18541666666666667,0.9895833333333334,0.680161943319838,0.5145833333333333,247
BigGAN,GenBuster,0.5475,0.5475,0.0,0.91,0.6078431372549019,0.1275,51
BigGAN,SD14,0.5083333333333333,0.5375,0.029166666666666674,0.9,0.5974025974025974,0.32083333333333336,154
BigGAN,BigGAN,0.9895833333333334,0.925,-0.06458333333333333,0.9895833333333334,0.7481481481481481,0.28125,135
